Country,IDH,Population,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region
Afghanistan,"0,462​",41.129.000,126,82,3109153,16,594982,28,1051783,Very Low Confidence,4,Southern Asia
Albania,"0,789​",2.776.000,127,83,238492,16,45058,28,79651,Very Low Confidence,8,Southern Europe
Algeria,"0,745​",44.903.000,135,91,3918529,16,673360,28,1190335,Very Low Confidence,12,Northern Africa
Andorra,"0,884​",80.000,123,84,6497,13,988,26,1971,Low Confidence,20,Southern Europe
Angola,"0,591​",35.589.000,144,100,3169523,16,497755,28,879908,Very Low Confidence,24,Sub-Saharan Africa
Antigua and Barbuda,"0,826​",94.000,113,74,7178,13,1244,26,2483,Low Confidence,28,Latin America and the Caribbean
Argentina,"0,849",46.235.000,116,72,3243563,16,700380,28,1238100,Very Low Confidence,32,Latin America and the Caribbean
Armenia,"0,786",2.780.000,137,93,275195,16,46259,28,81775,Very Low Confidence,51,Western Asia
Australia,"0,946​",25.979.000,133,102,2563110,9,238248,22,546340,High Confidence,36,Australia and New Zealand
Austria,"0,926​",9.043.000,76,39,349249,9,77289,28,254191,High Confidence,40,Western Europe
Azerbaijan,"0,760​",10.175.000,137,93,934872,16,157148,28,277800,Very Low Confidence,31,Western Asia
Bahamas,"0,82",410.000,113,74,28792,13,4990,26,9960,Low Confidence,44,Latin America and the Caribbean
Bahrain,"0,888",1.472.000,171,132,216161,13,21026,26,41966,Low Confidence,48,Western Asia
Bangladesh,"0,670​",171.186.000,84,65,10618233,16,2550080,3,544436,Very Low Confidence,50,Southern Asia
Barbados,"0,809​",282.000,113,74,21215,13,3677,26,7339,Low Confidence,52,Latin America and the Caribbean
Belarus,"0,801",9.209.000,112,68,646356,16,147838,28,261341,Very Low Confidence,112,Eastern Europe
Belgium,"0,942",11.669.000,80,50,576036,10,112100,20,227371,Medium Confidence,56,Western Europe
Belize,"0,700​",405.000,97,53,20564,16,6106,28,10794,Very Low Confidence,84,Latin America and the Caribbean
Benin,"0,504​",13.353.000,144,100,1175297,16,184573,28,326280,Very Low Confidence,204,Sub-Saharan Africa
Bhutan,"0,681​",782.000,123,79,60000,16,11935,28,21098,Very Low Confidence,64,Southern Asia
Bolivia (Plurin. State of),"0,698​",12.224.000,124,80,922012,16,180068,28,318315,Very Low Confidence,68,Latin America and the Caribbean
Bosnia and Herzegovina,"0,779​",3.234.000,127,83,273269,16,51628,28,91266,Very Low Confidence,70,Southern Europe
Botswana,"0,708​",2.630.000,136,92,211802,16,36030,28,63693,Very Low Confidence,72,Sub-Saharan Africa
Brazil,"0,760​",215.313.000,104,60,12578308,16,3300862,28,5835112,Very Low Confidence,76,Latin America and the Caribbean
Brunei Darussalam,"0,823​",449.000,119,80,34739,13,5551,26,11080,Low Confidence,96,South-eastern Asia
Bulgaria,"0,799",6.465.000,112,68,478667,16,109483,28,193539,Very Low Confidence,100,Eastern Europe
Burkina Faso,"0,438",22.674.000,147,103,2086893,16,317831,28,561848,Very Low Confidence,854,Sub-Saharan Africa
Burundi,"0,420​",12.890.000,147,103,1184127,16,180341,28,318799,Very Low Confidence,108,Sub-Saharan Africa
Cabo Verde,"0,661",593.000,144,100,54765,16,8601,28,15204,Very Low Confidence,132,Sub-Saharan Africa
Cambodia,"0,600​",16.768.000,130,86,1423397,16,257853,28,455820,Very Low Confidence,116,South-eastern Asia
Cameroon,"0,587",27.915.000,144,100,2577064,16,404713,28,715433,Very Low Confidence,120,Sub-Saharan Africa
Canada,"0,935​",38.930.000,118,79,2938321,13,479284,26,956615,Low Confidence,124,Northern America
Central African Republic,"0,387​",5.579.000,147,103,487305,16,74216,28,131196,Very Low Confidence,140,Sub-Saharan Africa
Chad,"0,394​",17.723.000,147,103,1637656,16,249413,28,440901,Very Low Confidence,148,Sub-Saharan Africa
Chile,"0,860​",19.604.000,113,74,1400946,13,242800,26,484611,Low Confidence,152,Latin America and the Caribbean
China,"0,788​",1.412.175.000,126,64,91646213,16,22424705,46,65377741,Very Low Confidence,156,Eastern Asia
"China, Hong Kong SAR","0,956​",,110,71,530985,13,95267,26,190147,Low Confidence,344,Eastern Asia
Colombia,"0,758​",51.874.000,114,70,3545499,16,787320,28,1391787,Very Low Confidence,170,Latin America and the Caribbean
Comoros,"0,586​",837.000,144,100,84742,16,13308,28,23526,Very Low Confidence,174,Sub-Saharan Africa
Congo,"0,593",5.970.000,144,100,535851,16,84152,28,148760,Very Low Confidence,178,Sub-Saharan Africa
Costa Rica,"0,806​",5.181.000,116,72,365609,16,78946,28,139556,Very Low Confidence,188,Latin America and the Caribbean
Côte d’Ivoire,"0,534",28.161.000,144,100,2561140,16,402212,28,711012,Very Low Confidence,384,Sub-Saharan Africa
Croatia,"0,878​",3.854.000,123,84,348070,13,52915,26,105613,Low Confidence,191,Southern Europe
Cuba,"0,764​",11.212.000,116,72,820910,16,177259,28,313349,Very Low Confidence,192,Latin America and the Caribbean
Cyprus,"0,907​",1.251.000,134,95,113306,13,15356,26,30649,Low Confidence,196,Western Asia
